NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_DIPNAC,VOTOS_FIT_DIPNAC,VOTOS_CF_DIPNAC,VOTOS_FDT_DIPNAC,VOTOS_JXC_DIPNAC,VOTOS_ULD_DIPNAC,VOTOS_NULO_DIPNAC,VOTOS_RECURRIDO_DIPNAC,VOTOS_IMPUGNADO_DIPNAC,VOTOS_BLANCO_DIPNAC,VOTOS_OTROS_DIPNAC
COMUNA 10,1010000103,10295,465,1003,3139,4300,344,130,2,1,428,483
COMUNA 10,1010000104,10075,452,985,3388,3926,302,127,0,0,455,440
COMUNA 10,1010000105,14929,723,1405,4637,6240,440,149,17,7,649,662
COMUNA 10,1010000106,9265,451,902,2991,3683,280,118,16,2,410,412
COMUNA 10,1010000107,15470,741,1390,5117,6305,488,160,6,0,627,636
COMUNA 10,1010000108,9714,543,863,3234,3826,310,101,5,15,391,426
COMUNA 10,1010000109,15193,863,1262,4952,6023,448,155,6,2,740,742
COMUNA 10,1010000110,8090,414,752,2894,2993,237,85,5,0,351,359
COMUNA 10,1010000111,8595,434,761,2782,3408,277,80,2,2,427,422
COMUNA 10,1010000112,6584,338,581,2259,2485,224,80,3,0,288,326
COMUNA 11,1011000113,10249,533,974,3310,4120,351,99,6,0,431,425
COMUNA 11,1011000114,13511,670,1222,4397,5499,435,146,2,1,530,609
COMUNA 11,1011000115,9370,527,778,3335,3517,287,106,2,0,406,412
COMUNA 11,1011000116,13592,748,1129,4726,5241,437,148,4,1,548,610
COMUNA 11,1011000117,14739,750,1306,4514,6281,459,168,3,0,615,643
COMUNA 11,1011000118,11631,530,992,3207,5520,367,103,2,0,420,490
COMUNA 11,1011000119,14489,625,1366,4089,6714,437,133,5,0,481,639
COMUNA 11,1011000120,15244,659,1430,3986,7276,577,164,1,4,503,644
COMUNA 11,1011000121,12473,506,1198,3475,5662,428,142,2,1,507,552
COMUNA 11,1011000122,10581,359,774,2136,6089,391,120,1,0,334,377
COMUNA 11,1011000123,11594,506,1115,3094,5324,419,130,8,13,471,514
COMUNA 12,1012000124,13351,632,1096,4465,5430,456,131,2,0,578,561
COMUNA 12,1012000125,17542,874,1577,5136,7826,532,183,6,2,667,739
COMUNA 12,1012000126,14626,773,1309,4459,6310,464,146,3,1,592,569
COMUNA 12,1012000127,19325,810,1607,4510,10219,628,172,7,3,656,713
COMUNA 12,1012000128,15891,826,1392,4519,7176,563,139,0,0,628,648
COMUNA 12,1012000129,20498,981,1598,5540,9851,647,227,6,0,738,910
COMUNA 12,1012000130,13851,687,1062,3880,6574,481,122,3,0,475,567
COMUNA 12,1012000131,4524,242,400,1257,2045,144,44,0,3,164,225
COMUNA 12,1012000132,15922,779,1256,4998,6962,533,167,5,14,648,560
COMUNA 12,1012000133,16419,836,1418,4420,7857,535,171,2,0,538,642
COMUNA 13,1013000134,6827,298,483,1456,3824,226,66,0,0,213,261
COMUNA 13,1013000135,9464,351,661,1975,5418,327,78,1,0,332,321
COMUNA 13,1013000136,11511,570,805,2693,6048,363,100,1,3,470,458
COMUNA 13,1013000137,10995,534,875,2673,5682,325,106,0,4,339,457
COMUNA 13,1013000138,22381,943,1549,4384,12993,738,208,7,0,732,827
COMUNA 13,1013000139,14109,565,928,2589,8445,427,114,5,1,528,507
COMUNA 13,1013000140,6545,304,396,1476,3640,223,47,1,1,235,222
COMUNA 13,1013000141,11224,404,685,2311,6667,366,80,2,1,347,361
COMUNA 13,1013000142,18655,459,823,2019,13664,585,110,1,2,511,481
COMUNA 13,1013000143,13915,518,910,2543,8357,494,112,7,0,493,481
COMUNA 13,1013000144,6201,269,319,1011,3883,218,50,2,0,197,252
COMUNA 13,1013000145,11900,703,850,3157,5735,340,116,5,1,499,494
COMUNA 13,1013000146,8724,487,578,2696,3872,271,81,0,0,351,388
COMUNA 13,1013000147,16001,577,1034,3038,9494,499,114,17,1,590,637
COMUNA 14,1014000148,17107,545,1043,2707,10951,542,117,3,1,592,606
COMUNA 14,1014000149,19245,504,1126,2974,12755,549,109,0,1,663,564
COMUNA 14,1014000150,9688,164,348,903,7353,278,47,8,1,274,312
COMUNA 14,1014000151,19475,482,934,2951,13263,621,117,7,3,534,563
COMUNA 14,1014000152,15096,489,756,2566,9700,441,109,4,8,500,523
COMUNA 14,1014000153,17650,846,1161,4079,9561,509,150,4,4,597,739
COMUNA 14,1014000154,20244,998,1303,5384,10240,599,225,6,2,716,771
COMUNA 14,1014000155,18373,875,1226,5289,8857,490,184,2,0,713,737
COMUNA 14,1014000156,7586,473,543,2436,3211,220,72,0,0,296,335
COMUNA 14,1014000157,12399,694,853,4006,5375,353,123,1,1,448,545
COMUNA 15,1015000158,15275,934,1144,4858,6254,436,191,6,0,621,831
COMUNA 15,1015000159,9413,578,709,3326,3698,236,84,1,0,352,429
COMUNA 15,1015000160,17770,1117,1364,5573,7337,486,180,8,1,793,911
COMUNA 15,1015000161,15642,998,1239,5344,6044,456,156,4,3,574,824
COMUNA 15,1015000162,12685,797,937,4989,4364,349,121,6,3,610,509
COMUNA 15,1015000163,9521,581,613,3846,3335,217,75,3,2,403,446
COMUNA 15,1015000164,8653,593,565,3077,3270,225,153,6,0,387,377
COMUNA 15,1015000165,15825,915,1182,5026,6768,469,150,11,9,626,669
COMUNA 15,1015000166,13177,772,1015,4554,5275,415,125,8,0,452,561
COMUNA 15,1015000167,10606,563,941,3195,4654,316,110,4,0,391,432
