NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_JEFGOB,VOTOS_FIT_JEFGOB,VOTOS_CF_JEFGOB,VOTOS_FDT_JEFGOB,VOTOS_JXC_JEFGOB,VOTOS_ULD_JEFGOB,VOTOS_NULO_JEFGOB,VOTOS_RECURRIDO_JEFGOB,VOTOS_IMPUGNADO_JEFGOB,VOTOS_BLANCO_JEFGOB,VOTOS_OTROS_JEFGOB
COMUNA 12,1012000125,17543,764,1525,5275,8050,2,242,6,2,1232,445
COMUNA 12,1012000126,14598,660,1245,4569,6484,5,136,2,1,1158,338
COMUNA 12,1012000127,19304,684,1508,4655,10524,0,149,8,3,1369,404
COMUNA 12,1012000128,15876,707,1340,4653,7403,0,131,0,0,1257,385
COMUNA 12,1012000129,20593,814,1496,5780,10246,0,207,7,0,1528,515
COMUNA 12,1012000130,13788,585,1010,3976,6776,14,114,3,0,982,328
COMUNA 12,1012000131,4523,200,391,1286,2111,11,44,0,3,364,113
COMUNA 12,1012000132,15876,677,1244,5079,7154,13,168,5,21,1211,304
COMUNA 12,1012000133,16364,689,1344,4505,8154,14,157,2,0,1155,344
COMUNA 13,1013000134,6824,237,454,1503,3950,5,67,0,0,465,143
COMUNA 13,1013000135,9440,278,633,2054,5566,0,73,1,0,646,189
COMUNA 13,1013000136,11647,473,773,2829,6268,0,92,1,3,958,250
COMUNA 13,1013000137,10943,445,855,2753,5888,0,95,0,4,649,254
COMUNA 13,1013000138,22267,759,1477,4512,13375,17,197,4,0,1503,423
COMUNA 13,1013000139,14093,433,851,2673,8728,0,107,5,1,1039,256
COMUNA 13,1013000140,6554,241,397,1524,3733,0,44,1,1,486,127
COMUNA 13,1013000141,11183,307,654,2393,6844,7,75,1,0,720,182
COMUNA 13,1013000142,18615,336,750,2106,14040,10,96,1,2,1106,168
COMUNA 13,1013000143,13875,436,879,2611,8623,2,109,6,0,976,233
COMUNA 13,1013000144,6205,210,314,1102,4016,0,45,3,0,419,96
COMUNA 13,1013000145,11878,542,791,3276,5958,9,111,5,1,916,269
COMUNA 13,1013000146,8815,373,543,2786,4122,0,73,1,0,688,229
COMUNA 13,1013000147,15906,469,1014,3071,9752,7,99,2,2,1174,316
COMUNA 14,1014000148,17019,433,984,2809,11259,0,97,3,1,1195,238
COMUNA 14,1014000149,19173,429,1087,3040,12996,0,101,0,1,1272,247
COMUNA 14,1014000150,9660,134,324,952,7543,5,35,8,2,578,79
COMUNA 14,1014000151,19176,384,895,3034,13270,8,112,6,3,1242,222
COMUNA 14,1014000152,15309,395,711,2748,10083,15,92,5,8,1035,217
COMUNA 14,1014000153,17557,664,1093,4238,9804,22,137,4,4,1212,379
COMUNA 14,1014000154,20138,803,1232,5527,10556,17,226,5,2,1354,416
COMUNA 14,1014000155,18348,729,1163,5406,9154,14,172,2,0,1329,379
COMUNA 14,1014000156,7557,364,517,2519,3321,0,66,0,0,587,183
COMUNA 14,1014000157,12382,554,836,4118,5561,9,99,1,1,876,327
COMUNA 15,1015000158,15256,744,1124,5065,6476,0,180,6,0,1127,534
COMUNA 15,1015000159,9402,459,666,3442,3848,8,81,1,0,631,266
COMUNA 15,1015000160,17753,904,1376,5808,7537,17,171,7,1,1328,604
COMUNA 15,1015000161,15688,794,1256,5553,6237,11,151,4,3,1179,500
COMUNA 15,1015000162,12683,676,901,5104,4519,9,115,6,2,1059,292
COMUNA 15,1015000163,9836,462,584,4142,3553,5,74,3,1,738,274
COMUNA 15,1015000164,8649,491,543,3147,3385,9,140,6,0,693,235
COMUNA 15,1015000165,15840,732,1123,5193,7006,46,146,12,9,1169,404
COMUNA 15,1015000166,13172,623,1005,4720,5422,0,118,9,0,948,327
COMUNA 15,1015000167,10598,464,881,3296,4821,0,95,4,0,793,244
