,Comuna,Partido,Porc_Pres,Porc_DipNac,Porc_JefGob,Porc_Com1,Porc_Com2,Porc_Com3,Porc_Com4,Porc_Com5,Porc_Com6,Porc_Com7,Porc_Com8,Porc_Com9,Porc_Com10,Porc_Com11,Porc_Com12,Porc_Com13,Porc_Com14,Porc_Com15
66,COMUNA 07,FIT,3.91,4.75,4.04,,0.0,0.0,0.0,0.0,0.0,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,COMUNA 07,FDT,35.71,33.64,34.9,,0.0,0.0,0.0,0.0,0.0,34.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,COMUNA 07,JXC,39.7,40.27,41.28,,0.0,0.0,0.0,0.0,0.0,40.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,COMUNA 07,CF,9.52,8.11,7.79,,0.0,0.0,0.0,0.0,0.0,7.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,COMUNA 07,ULD,3.8,3.31,0.02,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,COMUNA 07,NOS,1.08,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,COMUNA 07,BLANCO,3.45,4.57,8.58,,0.0,0.0,0.0,0.0,0.0,10.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,COMUNA 07,NULO,0.99,0.95,0.88,,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,COMUNA 07,RECURRIDO,0.04,0.04,0.04,,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,COMUNA 07,IMPUGNADO,0.04,0.04,0.05,,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,COMUNA 07,OTROS,1.1,4.96,1.67,,0.0,0.0,0.0,0.0,0.0,2.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,COMUNA 08,FIT,3.75,3.92,3.74,,0.0,0.0,0.0,0.0,0.0,0.0,3.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,COMUNA 08,FDT,48.36,46.0,46.67,,0.0,0.0,0.0,0.0,0.0,0.0,45.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,COMUNA 08,JXC,29.73,30.25,31.04,,0.0,0.0,0.0,0.0,0.0,0.0,30.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,COMUNA 08,CF,7.75,6.96,6.61,,0.0,0.0,0.0,0.0,0.0,0.0,6.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,COMUNA 08,ULD,2.77,2.54,0.08,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,COMUNA 08,NOS,1.33,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,COMUNA 08,BLANCO,3.54,5.98,9.04,,0.0,0.0,0.0,0.0,0.0,0.0,8.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
