NOMBRE_REGION,NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_PRES,VOTOS_FIT_PRES,VOTOS_CF_PRES,VOTOS_FDT_PRES,VOTOS_JXC_PRES,VOTOS_NOS_PRES,VOTOS_ULD_PRES,VOTOS_NULO_PRES,VOTOS_RECURRIDO_PRES,VOTOS_IMPUGNADO_PRES,VOTOS_BLANCO_PRES,VOTOS_OTROS_PRES
COMUNA 13,COMUNA 13,1013000140,6549,239,484,1572,3602,48,256,41,1,1,223,82
COMUNA 13,COMUNA 13,1013000141,11241,303,823,2465,6615,89,421,82,2,0,298,143
COMUNA 13,COMUNA 13,1013000142,18669,329,983,2153,13665,208,694,114,2,3,382,136
COMUNA 13,COMUNA 13,1013000143,13904,426,1069,2718,8317,159,561,123,6,0,363,162
COMUNA 13,COMUNA 13,1013000144,6206,199,392,1100,3894,88,244,52,2,0,173,62
COMUNA 13,COMUNA 13,1013000145,11891,508,990,3406,5707,122,408,114,4,1,459,172
COMUNA 13,COMUNA 13,1013000146,8866,374,713,2879,3946,95,313,87,2,0,309,148
COMUNA 13,COMUNA 13,1013000147,15980,446,1204,3253,9473,186,595,126,3,1,491,202
COMUNA 14,COMUNA 14,1014000148,17184,421,1257,2938,10921,258,627,109,2,3,449,199
COMUNA 14,COMUNA 14,1014000149,19267,422,1278,3157,12733,282,639,116,0,3,441,196
COMUNA 14,COMUNA 14,1014000150,9692,118,419,978,7446,124,311,37,8,2,181,68
COMUNA 14,COMUNA 14,1014000151,19469,378,1113,3099,13282,194,703,127,8,3,398,164
COMUNA 14,COMUNA 14,1014000152,14959,381,903,2737,9637,132,510,95,6,8,386,164
COMUNA 14,COMUNA 14,1014000153,17576,619,1341,4435,9473,185,592,151,5,4,477,294
COMUNA 14,COMUNA 14,1014000154,20312,770,1553,5746,10239,175,693,225,5,2,604,300
COMUNA 14,COMUNA 14,1014000155,18366,692,1465,5643,8774,250,575,174,2,0,511,280
COMUNA 14,COMUNA 14,1014000156,7567,341,662,2644,3161,71,263,74,0,0,241,110
COMUNA 14,COMUNA 14,1014000157,12392,533,1026,4228,5332,106,421,114,3,1,414,214
COMUNA 15,COMUNA 15,1015000158,15289,710,1375,5309,6189,110,507,189,7,0,592,301
COMUNA 15,COMUNA 15,1015000159,9436,450,823,3581,3662,89,287,86,1,0,285,172
COMUNA 15,COMUNA 15,1015000160,17775,874,1651,6088,7269,126,579,182,8,1,667,330
COMUNA 15,COMUNA 15,1015000161,15639,759,1463,5785,5974,126,520,146,6,3,571,286
COMUNA 15,COMUNA 15,1015000162,12689,658,1107,5324,4299,119,402,117,6,2,417,238
COMUNA 15,COMUNA 15,1015000163,9538,444,737,4095,3291,73,252,75,3,1,369,198
COMUNA 15,COMUNA 15,1015000164,8654,455,660,3329,3225,78,262,154,6,0,340,145
COMUNA 15,COMUNA 15,1015000165,15832,700,1396,5412,6670,143,552,164,11,9,532,243
COMUNA 15,COMUNA 15,1015000166,13176,588,1204,4893,5191,117,470,133,9,0,370,201
COMUNA 15,COMUNA 15,1015000167,10519,456,1072,3317,4574,93,372,112,4,0,366,153
